age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;hours_per_week;country;salary
[17,21];Private;197200;Some-college;(9,10];Spouseless;Machine-op-inspct;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
[17,21];Private;544091;High School;(8,9];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Female;<40;US;0
(29,33];Private;84154;Some-college;(9,10];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;<40;Non-US;1
(43,54];Self-emp-not-inc;265477;Associate;(10,12];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Private;507875;<= 12th;[1,8];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Self-emp-not-inc;88506;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(23,25];Private;172987;Bachelors;(12,13];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Private;94638;High School;(8,9];Spouseless;Administration;Unmarried;White or Asian-Pac-Islander;Female;40;US;0
(23,25];Private;289980;High School;(8,9];Spouseless;Service;Not-in-family;White or Asian-Pac-Islander;Male;<40;US;0
(54,61];Federal-gov;337895;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;Other;Male;40;US;1
(43,54];Private;144361;High School;(8,9];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;0
(43,54];Private;128354;Masters;(13,16];Spouseless;Exec-managerial;Unmarried;White or Asian-Pac-Islander;Female;40;US;0
(37,43];State-gov;101603;Associate;(10,12];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(25,29];Private;271466;Associate;(10,12];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(23,25];Private;32275;Some-college;(9,10];With Spouse;Exec-managerial;Wife or husband;Other;Female;40;US;0
[17,21];Private;226956;High School;(8,9];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Female;<40;Non-US;0
(43,54];Private;51835;Above Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Female;>40;Non-US;1
(43,54];Federal-gov;251585;Bachelors;(12,13];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;1
(43,54];Self-emp-inc;109832;High School;(8,9];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(37,43];Private;237993;Some-college;(9,10];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(43,54];Private;216666;<= 12th;[1,8];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;0
(33,35];Private;56352;Associate;(10,12];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;0
(37,43];Private;147372;High School;(8,9];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(29,33];Private;188146;High School;(8,9];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Private;59496;Bachelors;(12,13];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Other;293936;<= 12th;[1,8];Spouseless;Other;Not-in-family;White or Asian-Pac-Islander;Male;40;Non-US;0
(43,54];Private;149640;High School;(8,9];With Spouse;Transport-moving;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Private;116632;Above Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(25,29];Private;105598;Some-college;(9,10];Spouseless;Tech and Secutity;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(35,37];Private;155537;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(25,29];Private;183175;Some-college;(9,10];Spouseless;Administration;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(43,54];Private;169846;High School;(8,9];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Female;40;US;1
(43,54];Self-emp-inc;191681;Some-college;(9,10];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(23,25];Other;200681;Some-college;(9,10];Spouseless;Other;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
[17,21];Private;101509;Some-college;(9,10];Spouseless;Prof-specialty;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(29,33];Private;309974;Bachelors;(12,13];Spouseless;Sales;Child or other relative;Other;Female;40;US;0
(25,29];Self-emp-not-inc;162298;Bachelors;(12,13];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(21,23];Private;211678;Some-college;(9,10];Spouseless;Machine-op-inspct;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(61,90];Private;124744;Some-college;(9,10];With Spouse;Prof-specialty;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(25,29];Private;213921;High School;(8,9];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Male;40;Non-US;0
(37,43];Private;32214;Associate;(10,12];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(61,90];Other;212759;<= 12th;[1,8];With Spouse;Other;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;0
[17,21];Private;309634;<= 12th;[1,8];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Female;<40;US;0
(29,33];Local-gov;125927;<= 12th;[1,8];With Spouse;Agriculture;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
[17,21];Private;446839;High School;(8,9];Spouseless;Sales;Not-in-family;White or Asian-Pac-Islander;Male;<40;US;0
(43,54];Private;276515;Bachelors;(12,13];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;0
(43,54];Private;51618;High School;(8,9];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Female;40;US;0
(54,61];Private;159937;High School;(8,9];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Private;343591;High School;(8,9];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Female;40;US;1
(43,54];Private;346253;High School;(8,9];Spouseless;Sales;Child or other relative;White or Asian-Pac-Islander;Female;<40;US;0
(43,54];Local-gov;268234;High School;(8,9];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(29,33];Private;202051;Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(29,33];Private;54334;<= 12th;[1,8];Spouseless;Sales;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Federal-gov;410867;Above Masters;(13,16];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;>40;US;1
(54,61];Private;249977;Associate;(10,12];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(35,37];Private;286730;Some-college;(9,10];Spouseless;Craft-repair;Unmarried;White or Asian-Pac-Islander;Female;40;US;0
(25,29];Private;212563;Some-college;(9,10];Spouseless;Machine-op-inspct;Unmarried;Other;Female;<40;US;0
(29,33];Private;117747;High School;(8,9];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Female;<40;Non-US;0
(33,35];Local-gov;226296;Bachelors;(12,13];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(25,29];Local-gov;115585;Some-college;(9,10];Spouseless;Service;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Self-emp-not-inc;191277;Above Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(35,37];Private;202683;Some-college;(9,10];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(43,54];Private;171095;Associate;(10,12];Spouseless;Exec-managerial;Unmarried;White or Asian-Pac-Islander;Female;40;Non-US;0
(29,33];Federal-gov;249409;High School;(8,9];Spouseless;Service;Child or other relative;Other;Male;40;US;0
(61,90];Private;124191;Masters;(13,16];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(43,54];Private;198282;Bachelors;(12,13];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(43,54];Self-emp-not-inc;149116;Masters;(13,16];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;>40;US;0
[17,21];Private;188300;Some-college;(9,10];Spouseless;Tech and Secutity;Child or other relative;White or Asian-Pac-Islander;Female;40;US;0
(25,29];Private;103432;High School;(8,9];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Self-emp-inc;317660;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
[17,21];Other;304873;<= 12th;[1,8];Spouseless;Other;Child or other relative;White or Asian-Pac-Islander;Female;<40;US;0
(29,33];Private;194901;<= 12th;[1,8];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Local-gov;189265;High School;(8,9];Spouseless;Administration;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(37,43];Private;124692;High School;(8,9];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(23,25];Private;432376;Bachelors;(12,13];Spouseless;Sales;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Private;65324;Above Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(54,61];Self-emp-not-inc;335605;High School;(8,9];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Male;>40;Non-US;1
(25,29];Private;377869;Some-college;(9,10];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Female;<40;US;0
(35,37];Private;102864;High School;(8,9];Spouseless;Machine-op-inspct;Child or other relative;White or Asian-Pac-Islander;Female;40;US;0
(43,54];Private;95647;<= 12th;[1,8];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(54,61];Self-emp-inc;303090;Some-college;(9,10];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Local-gov;197371;Associate;(10,12];With Spouse;Craft-repair;Wife or husband;Other;Male;40;US;1
(54,61];Private;247552;Some-college;(9,10];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(21,23];Private;102632;High School;(8,9];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
[17,21];Private;199915;Some-college;(9,10];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Female;40;US;0
(37,43];Private;118853;Bachelors;(12,13];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(29,33];Private;77143;Bachelors;(12,13];Spouseless;Exec-managerial;Child or other relative;Other;Male;40;Non-US;0
(25,29];State-gov;267989;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
[17,21];Private;301606;Some-college;(9,10];Spouseless;Service;Child or other relative;Other;Male;<40;US;0
(43,54];Private;287828;Bachelors;(12,13];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Female;40;US;1
[17,21];Private;111697;Some-college;(9,10];Spouseless;Administration;Child or other relative;White or Asian-Pac-Islander;Female;<40;US;0
(29,33];Private;114937;Associate;(10,12];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(33,35];Other;129305;High School;(8,9];With Spouse;Other;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Private;365739;Some-college;(9,10];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(25,29];Private;69621;Associate;(10,12];Spouseless;Sales;Not-in-family;White or Asian-Pac-Islander;Female;>40;US;0
(23,25];Private;43323;High School;(8,9];Spouseless;Service;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(37,43];Self-emp-not-inc;120985;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;0
(35,37];Private;254202;Bachelors;(12,13];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Private;146195;Associate;(10,12];Spouseless;Tech and Secutity;Not-in-family;Other;Female;<40;US;0
(37,43];Federal-gov;125933;Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;1
(37,43];Self-emp-not-inc;56920;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(25,29];Private;163127;Associate;(10,12];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Female;<40;US;0
[17,21];Private;34310;Some-college;(9,10];Spouseless;Sales;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(43,54];Private;81973;Some-college;(9,10];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(54,61];Self-emp-inc;66614;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(25,29];Private;232782;Some-college;(9,10];Spouseless;Sales;Child or other relative;White or Asian-Pac-Islander;Female;40;US;0
[17,21];Private;316868;Some-college;(9,10];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Male;<40;Non-US;0
(43,54];Private;196584;Associate;(10,12];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;40;US;1
(61,90];Private;105376;Some-college;(9,10];Spouseless;Tech and Secutity;Child or other relative;White or Asian-Pac-Islander;Male;40;US;0
(29,33];Private;185814;High School;(8,9];Spouseless;Transport-moving;Unmarried;Other;Female;<40;US;0
(21,23];Private;175374;Some-college;(9,10];With Spouse;Service;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;0
(35,37];Private;108293;High School;(8,9];Spouseless;Service;Unmarried;White or Asian-Pac-Islander;Female;<40;US;0
(61,90];Private;181232;<= 12th;[1,8];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Other;174662;Some-college;(9,10];Spouseless;Other;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(43,54];Local-gov;186009;Some-college;(9,10];Spouseless;Administration;Unmarried;White or Asian-Pac-Islander;Female;<40;Non-US;0
(33,35];Private;198183;High School;(8,9];Spouseless;Administration;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(29,33];Private;163003;Bachelors;(12,13];Spouseless;Exec-managerial;Child or other relative;White or Asian-Pac-Islander;Female;40;Non-US;0
[17,21];Private;296158;High School;(8,9];Spouseless;Craft-repair;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(43,54];Other;252903;High School;(8,9];Spouseless;Other;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;1
(43,54];Private;187715;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(21,23];Private;214542;Bachelors;(12,13];Spouseless;Service;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(61,90];Self-emp-not-inc;494223;Some-college;(9,10];Spouseless;Sales;Unmarried;Other;Male;<40;US;0
(25,29];Private;191535;High School;(8,9];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(37,43];Private;228456;Bachelors;(12,13];Spouseless;Service;Child or other relative;Other;Male;>40;US;0
(61,90];Other;38317;<= 12th;[1,8];Spouseless;Other;Not-in-family;White or Asian-Pac-Islander;Female;<40;US;0
(23,25];Private;252752;High School;(8,9];Spouseless;Service;Unmarried;White or Asian-Pac-Islander;Female;40;US;0
(43,54];Self-emp-inc;78374;Masters;(13,16];Spouseless;Exec-managerial;Unmarried;White or Asian-Pac-Islander;Female;40;US;0
(25,29];Private;88419;High School;(8,9];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Female;40;Non-US;0
(43,54];Self-emp-not-inc;201080;Masters;(13,16];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(35,37];Private;207157;Some-college;(9,10];Spouseless;Service;Unmarried;White or Asian-Pac-Islander;Female;40;Non-US;0
(37,43];Federal-gov;235485;Associate;(10,12];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];State-gov;102628;Masters;(13,16];Spouseless;Tech and Secutity;Unmarried;White or Asian-Pac-Islander;Male;40;US;0
[17,21];Private;25828;<= 12th;[1,8];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(61,90];Local-gov;54826;Associate;(10,12];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;<40;US;0
(25,29];Private;124953;High School;(8,9];Spouseless;Service;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(25,29];State-gov;175325;High School;(8,9];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(43,54];Private;96062;Some-college;(9,10];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(25,29];Private;428030;Bachelors;(12,13];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(25,29];State-gov;149624;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(25,29];Private;253814;High School;(8,9];Spouseless;Sales;Unmarried;White or Asian-Pac-Islander;Female;<40;US;0
[17,21];Private;312956;High School;(8,9];Spouseless;Craft-repair;Child or other relative;Other;Male;40;US;0
(33,35];Private;483777;High School;(8,9];Spouseless;Service;Not-in-family;Other;Male;40;US;0
[17,21];Private;183930;High School;(8,9];Spouseless;Service;Child or other relative;White or Asian-Pac-Islander;Male;<40;US;0
(29,33];Private;37274;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(43,54];Local-gov;181344;Some-college;(9,10];With Spouse;Exec-managerial;Wife or husband;Other;Male;<40;US;1
(37,43];Private;114580;Some-college;(9,10];Spouseless;Administration;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(29,33];Private;633742;Some-college;(9,10];Spouseless;Craft-repair;Not-in-family;Other;Male;>40;US;0
(37,43];Private;286370;<= 12th;[1,8];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;40;Non-US;1
(35,37];Federal-gov;29054;Some-college;(9,10];With Spouse;Administration;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(33,35];Private;304030;High School;(8,9];With Spouse;Administration;Wife or husband;Other;Male;40;US;0
(37,43];Self-emp-not-inc;143129;Bachelors;(12,13];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(43,54];Other;135105;Bachelors;(12,13];Spouseless;Other;Not-in-family;White or Asian-Pac-Islander;Female;>40;US;0
(29,33];Private;99928;Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Female;>40;US;0
(54,61];State-gov;109567;Above Masters;(13,16];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;1
(37,43];Private;155222;Some-college;(9,10];Spouseless;Machine-op-inspct;Not-in-family;Other;Female;<40;US;0
(23,25];Private;159567;Some-college;(9,10];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Local-gov;523910;Bachelors;(12,13];With Spouse;Craft-repair;Wife or husband;Other;Male;40;US;0
(43,54];Private;120939;Some-college;(9,10];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(37,43];Federal-gov;130760;Bachelors;(12,13];With Spouse;Tech and Secutity;Wife or husband;White or Asian-Pac-Islander;Male;<40;US;0
(21,23];Private;197387;<= 12th;[1,8];With Spouse;Transport-moving;Child or other relative;White or Asian-Pac-Islander;Male;40;Non-US;0
(35,37];Private;99374;Some-college;(9,10];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(37,43];Federal-gov;56795;Masters;(13,16];Spouseless;Exec-managerial;Not-in-family;White or Asian-Pac-Islander;Female;>40;US;1
(33,35];Private;138992;Masters;(13,16];With Spouse;Prof-specialty;Child or other relative;White or Asian-Pac-Islander;Male;40;US;1
(23,25];Self-emp-not-inc;32921;High School;(8,9];Spouseless;Sales;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
(25,29];Private;397317;Masters;(13,16];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
[17,21];Other;170653;High School;(8,9];Spouseless;Other;Child or other relative;White or Asian-Pac-Islander;Male;40;Non-US;0
(43,54];Private;259323;Bachelors;(12,13];With Spouse;Exec-managerial;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;1
(37,43];Local-gov;254817;Some-college;(9,10];Spouseless;Prof-specialty;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(35,37];State-gov;48211;High School;(8,9];Spouseless;Administration;Unmarried;White or Asian-Pac-Islander;Female;<40;US;0
[17,21];Private;140164;<= 12th;[1,8];Spouseless;Sales;Child or other relative;White or Asian-Pac-Islander;Female;40;US;0
(35,37];Private;128757;Bachelors;(12,13];With Spouse;Service;Wife or husband;Other;Male;<40;US;1
(33,35];Private;36270;High School;(8,9];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;>40;US;0
(54,61];Self-emp-inc;210563;High School;(8,9];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Female;<40;US;1
[17,21];Private;65368;<= 12th;[1,8];Spouseless;Sales;Child or other relative;White or Asian-Pac-Islander;Female;<40;US;0
(43,54];Local-gov;160943;High School;(8,9];With Spouse;Transport-moving;Wife or husband;Other;Male;40;US;0
(35,37];Private;208358;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(33,35];Private;153790;Some-college;(9,10];Spouseless;Sales;Not-in-family;Other;Female;40;US;0
(54,61];Private;85815;High School;(8,9];With Spouse;Craft-repair;Wife or husband;White or Asian-Pac-Islander;Male;40;US;0
(43,54];Self-emp-inc;125417;<= 12th;[1,8];With Spouse;Machine-op-inspct;Wife or husband;White or Asian-Pac-Islander;Male;40;US;1
(35,37];Private;635913;Bachelors;(12,13];Spouseless;Exec-managerial;Not-in-family;Other;Male;>40;US;1
(43,54];Private;313321;Associate;(10,12];Spouseless;Sales;Not-in-family;White or Asian-Pac-Islander;Female;40;US;0
(37,43];Private;182609;Bachelors;(12,13];With Spouse;Sales;Wife or husband;White or Asian-Pac-Islander;Male;>40;Non-US;0
(43,54];Private;109434;Bachelors;(12,13];With Spouse;Prof-specialty;Wife or husband;White or Asian-Pac-Islander;Male;>40;US;0
(23,25];Private;255004;<= 12th;[1,8];Spouseless;Craft-repair;Not-in-family;White or Asian-Pac-Islander;Male;40;US;0
